location,lat,lon,dist_to_school_km,dist_to_hospital_km,dist_to_transit_km
Basavangudi,12.9421868,77.5742576,,,
Basavanna Nagar,12.9887336,77.7204129,,,
Basaveshwara Nagar,12.9932739,77.5388099,,,
Battarahalli,13.015119,77.7094485,2.539528259727921,0.5130363948039008,0.1194633788993419
Begur,12.8633887,77.6130112,0.5668539393216505,1.0187460727697344,0.5900174913274432
Begur Road,12.8742536,77.6260073,0.0564740136609505,0.4261364523608231,0.0426900671248846
Belathur,12.9989822,77.7408733,0.3681875013716038,1.5160290228254107,0.4520371519914777
Belatur,12.9975859,77.7559053,,,
Bellandur,12.9320495,77.6842915,,,
"Bellandur,",12.9320495,77.6842915,0.6470596897057579,0.1078135040763627,0.3093518937483647
"Beml layout, Rajarajeshwari nagar",12.9196528,77.5202202,0.1861088776333143,0.1236775579845322,0.0636027145476274
Bendiganahalli,13.0683794,77.7582582,,,
Benson Town,12.997343,77.6036815,0.6459429891583218,0.3222163028721158,0.3116091335718602
Bethel Nagar,13.0054071,77.7172101,1.333537186113794,0.1062643719888773,0.7967087544655798
Bettadasanapura,12.8416246,77.6318501,,,
Bharat Nagar,13.0222347,77.5671832,,,
Bharathi Nagar,12.9898432,77.6103341,,,
Bharathnagar,12.9801263,77.4784076,,,
Bhattarahalli,13.0255971,77.7145545,,,
Bhuvaneshwari Nagar,12.9715261,77.5595225,,,
Bhuvaneswari Nagar,13.0547459,77.6024403,,,
Bidadi,12.8861649,77.5822896,,,
Bilal Nagar,12.9208594,77.5996086,,,
Bileshivale,13.0543306,77.6710224,,,
Billamaranahalli,13.1503834,77.6374474,,,
Billapura,12.8410686,77.7887246,,,
Binnamangala,12.9839881,77.6416769,,,
Bommanahalli,12.9034581,77.6230028,,,
Bommasandra,12.8160161,77.6892217,2.992311219891365,1.0929517272984866,0.3785562442633366
Bommasandra Industrial Area,12.8137512,77.6953367,2.4011759281746454,0.7203121209554268,0.8298539530993914
Bommenahalli,13.0742536,77.7465943,,,0.04829465319262858
Brigade Road,12.967408,77.6065277,0.07195811939805624,0.2350720779959816,0.17142338814206687
Brindavan Layout,12.9683656,77.7606342,0.6819170650582733,1.0828733658332417,0.3138487117680877
Brindavan Nagar,12.9741269,77.6086454,0.5579202537809185,0.3795811096802024,0.14974682386629368
Brookefield,12.9652094,77.717936,0.3008872575702131,0.03739926878833225,0.031078641503823716
Budigere,13.1424106,77.7340989,,1.274730303566862,0.5223279199956383
Bull Temple Road,12.954905,77.5674402,0.39483938293830123,0.021802504342755807,0.1745971414578207
Byadarahalli,12.9779094,77.484086,0.23694758376289565,0.8205450862288203,0.40047829663860074
Byappanahalli,12.9899416,77.6534298,1.2274599887463025,0.6013998810257436,0.02281517919106082
Byatarayanapura,13.068322,77.591006,0.6390503863790468,0.5229787545111656,0.2904150118814682
Byrasandra,12.9295931,77.581181,0.44975992700038997,0.09703065137840478,0.09203860710523781
CMH Road,12.9782612,77.6354958,0.1600711442550768,0.03911880376461356,0.08464975806208744
CQAL Layout,13.0636348,77.5832498,0.7189571897529191,0.5120095682100437,0.07242507258546474
