location,lat,lon
Bahubali Nagar,13.0450669,77.5492146
Balagere,12.9377243,77.7280705
Balaji Gardens Layout,13.0330795,77.6379544
Banagiri Nagar,12.9228552,77.5586323
Banagirinagar,,
"Banasawadi,",13.0144163,77.6509289
Banashankari,12.9278196,77.556621
Banashankari 2 nd Stage,12.8835602,77.5140959
"Banashankari 3rd stage, Vivekanandanagar",,
Banashankari 6th Stage,12.8849238,77.5154846
"Banashankari 6th Stage ,Subramanyapura",12.8933259,77.5219378
"Banashankari 6th stage , 2nd block",12.8849238,77.5154846
Banashankari Stage I,12.8849238,77.5154846
Banashankari Stage II,12.8849238,77.5154846
Banashankari Stage III,,
Banashankari Stage V,12.8849238,77.5154846
Banashankari Stage VI,12.8849238,77.5154846
Banashankari stage 2,12.9278968,77.5622171
Banashankari3rd stage bigbazar,,
Banaswadi,13.0141618,77.6518539
"Banaswadi,",13.0141618,77.6518539
Bande Nallasandra,12.791765,77.6515627
Bandepalya,12.8804001,77.6491258
Banjara Layout,13.0383011,77.6652515
Bank Avenue,13.0225678,77.6527986
Bank Of Baroda Colony,12.893481,77.5837404
Bannerghatta,12.9517452,77.6039506
Bannerghatta Road,12.9426506,77.6027253
Bapuji Nagar,12.9556699,77.5402492
Basapura,12.8686664,77.6441741
Basava Nagar,12.9854757,77.5887667
Basavanagara,12.900973,77.4671249
Basavanapura,13.0093485,77.7108379
Basavangudi,12.9421868,77.5742576
Basavanna Nagar,12.9887336,77.7204129
Basaveshwara Nagar,12.9932739,77.5388099
Basaveshwara Nagar Yelahanka,,
Basaveswarnagar,,
"Basnashankari,6th stage,",,
Basvasamithi Layout Vidyaranyapura,,
Battarahalli,13.015119,77.7094485
Begur,12.8633887,77.6130112
Begur Road,12.8742536,77.6260073
Behind Don Bosco Church,,
Belathur,12.9989822,77.7408733
Belatur,12.9975859,77.7559053
Bellandur,12.9320495,77.6842915
"Bellandur,",12.9320495,77.6842915
Bellari Road,,
"Beml layout, Rajarajeshwari nagar",12.9196528,77.5202202
Bendiganahalli,13.0683794,77.7582582
Bennigana Halli,,
Benson Town,12.997343,77.6036815
Bethel Nagar,13.0054071,77.7172101
Bettadasanapura,12.8416246,77.6318501
Bettahalsoor,,
Bhagyalakshmi Avenue,,
Bharat Nagar,13.0222347,77.5671832
Bharath Housing Society Layout,,
Bharathi Nagar,12.9898432,77.6103341
Bharathnagar,12.9801263,77.4784076
Bhattarahalli,13.0255971,77.7145545
Bhoganhalli,,
Bhoopsandra,,
Bhuvaneshwari Nagar,12.9715261,77.5595225
Bhuvaneswari Nagar,13.0547459,77.6024403
Bidadi,12.8861649,77.5822896
"Bidere Agarahara, Behind Safal market",,
Bidrahalli,,
Bikasipura,,
Bilal Nagar,12.9208594,77.5996086
Bileshivale,13.0543306,77.6710224
Billamaranahalli,13.1503834,77.6374474
Billapura,12.8410686,77.7887246
Billekahalli,,
Binnamangala,12.9839881,77.6416769
Binny Mills Employees Colony,,
Binny Pete,,
Bisuvanahalli,,
Bommanahalli,12.9034581,77.6230028
Bommasandra,12.8160161,77.6892217
