location,lat,lon
Maithri Layout,12.9848621,77.7559192
Makali,13.0655449,77.4533438
Malimakanapura,,
Mallappa Layout,,
Mallasandra,13.0548302,77.5155741
Mallathahalli,12.969649,77.5023618
Malleshpalya,12.9744129,77.6743533
Malleshwaram,13.0027353,77.5703253
Malur Hosur Road,,
Manayata Tech Park,13.0454837,77.6266492
Mangammanapalya,12.9075288,77.6350312
Mango Garden Layout,,
Manjunath Nagar,12.9536329,77.6543602
Manjunatha Layout,13.0250058,77.7001393
Manonarayanapalya,,
Manorayana Palya,13.0296633,77.6061427
"Maragondana Halli, kr puram, old madras road",,
Maragondanahalli,13.0376489,77.6922232
Marasandra,13.1039235,77.7114248
Marathahalli,12.9552572,77.6984163
Marathalli bridge,12.9563664,77.7069965
Marathi Layout,12.9114081,77.6443062
Marenahalli,12.9182594,77.5916651
Margondanahalli,13.0302592,77.6935252
Mariyannapalya,,
Marsur,12.7678915,77.7043732
Maruthi Extension,12.9976424,77.5631012
Maruthi HBCS Layout,12.9977407,77.5418368
Maruthi Layout,12.9204015,77.6067432
Maruthi Nagar,12.9746062,77.6756305
Maruthi Sevanagar,13.0027048,77.6346165
Maruthi nagar kogilu,,
Mathikere,13.0333587,77.5581786
Mathikere Extension,,
Mathikere SBM colony,13.0372442,77.5566011
Medahalli,13.0278454,77.7206079
Medaralli,,
Medi Agrahara,13.1029398,77.52051
Meenakunte,,
Michael Palaya,12.9844888,77.6467705
Mico Layout,12.9129858,77.6037799
Milk Colony,13.0093324,77.5583026
Millers Road,12.9952022,77.6030016
Moodalapalya,12.9721131,77.5215397
Motappa Layout,,
Mukkutam Nagar,,
Mullur,,
Muneshwara Nagar,13.0052451,77.7132511
Munivenkatppa Layout,,
Munnekollal,,
Murugeshpalya,12.9589406,77.6555917
Muthurayya Swamy Layout,,
Muthyala Nagar,,
Mylasandra,12.9160293,77.497544
Mysore Highway,12.8822917,77.4479257
Mysore Road,12.9467026,77.5300705
NGR Layout,,
NR Colony,12.9388164,77.568326
NRI Layout,13.0271999,77.6792114
NS Palya,12.9089511,77.6035005
NTI Layout,,
Nagadevanahalli,12.939922,77.4913207
Naganathapura,12.8755868,77.6673054
Nagappa Reddy Layout,12.9599768,77.7154704
Nagaraja Garden,,
Nagarbhavi,12.9512353,77.519054
Nagarbhavi  BDA Complex,12.9793561,77.5105425
Nagarbhavi Garden Villas Layout,,
Nagasandra,13.0479536,77.5001422
Nagashetty Halli,,
Nagavara,13.0374647,77.623602
Nagavarapalya,12.9866903,77.6577863
Nagawara Junction,13.0454631,77.626723
Nagondanahalli,12.97516,77.7703403
Naidu Layout,13.0332707,77.5730946
Nallurhalli,12.9766408,77.7248845
Nandi Durga Road,13.0044951,77.5948451
Nandi Hills,,
Nandini Layout,13.0125961,77.5333145
Nanjappa Garden,13.0234077,77.6504121
Nanjappa Layout,13.0682587,77.5566819
Nanjappa Layout Vidyaranyapura,13.0682587,77.5566819
Narasapura,13.0721622,77.5587998
Narayana Nagar 1st Block,,
Narayanappa Garden,12.9647744,77.7511974
Narayanapura,13.0716969,77.6193949
Navodaya Nagar,12.8823286,77.5828765
Nayandanahalli,,
Ncpr Industrial Layout,12.9859833,77.7128318
"Near Electronic City,",12.9984475,77.5423888
Near International Airport,,
Near ullas theater,,
Neeladri Nagar,12.8414612,77.6479661
Neelamangala,,
Neelasandra,12.9523859,77.6152058
Nehru Nagar,12.9829907,77.5744995
Nelamangala,13.0979667,77.3945591
New Gurappana Palya,12.9242342,77.6041393
New Thippasandra,12.9761264,77.660815
Ngef Layout,12.9592694,77.5093895
Nirman Layout,,
Nobo Nagar,12.8679232,77.5962356
Nyanappana Halli,,
OLd Gurappanapalya,,
OMBR Layout,13.0082113,77.652778
Off Bannergatta Road,,
Off Bannergatta road,,
"Off Sarjapur Road,",12.9098432,77.6878366
"Off Sarjapur road,",12.9098432,77.6878366
Okalipura,12.9825341,77.5678787
Old Airport Road,12.9591061,77.6595688
Old Madras Road,13.0069152,77.6882534
Old Mangammanapalya Road,12.899926,77.6358309
Omarbagh Layout,,
Omkar Nagar,12.89,77.5973052
Outer Ring Road East,12.9792116,77.6952364
P Krishnappa Layout,12.9070818,77.6929357
P&T Colony,12.9597301,77.6421523
P&T Layout,13.0124489,77.6960226
PC Palaya,12.993425,77.7005156
PNS Layout,13.0648728,77.5841846
Padmanabhanagar,12.9181024,77.5576638
Pai Layout,12.993111,77.6666772
"Pai layout , Mahadevapura",,
Palace Guttahalli,12.999489,77.5843469
Palace Road,12.9751459,77.5825554
Palanahalli,13.1163349,77.6146643
Pampa Extension,13.0544256,77.5991953
Panathur,12.9351457,77.7047541
"Panathur Road,",12.9554389,77.7004848
Panduranga Nagar,12.8930758,77.5961351
Papareddipalya,,
Parappana Agrahara,12.8802088,77.6658442
Patelappa Layout,,
Pattanagere,12.9200602,77.506701
Pattandur Agrahara,12.9876393,77.7377718
Peenya,13.0330515,77.5332233
Phase 1 Kammasandra,13.079198,77.7136366
Pillahalli,13.1025289,77.4287996
Pillanna Gardens,,
Poorna Pragna Layout,12.9089902,77.5327496
Poornapragna Housing Society Layout,,
Popular Colony,,
Postal Colony,13.0351918,77.5771223
Pragathi Nagar,12.957534,77.7009125
Prakash Nagar,12.9948984,77.5635409
Prakruthi Nagar,13.0978966,77.6157367
Prasanna layout Herohalli,12.9974648,77.4970838
Prasanth Extension,,
Prasanti Nagar,,
Prashanth Nagar,12.9776188,77.5313254
Prestige Sunrise,12.8334817,77.6631176
Prithvi Layout,12.977178,77.7436455
Pulikeshi Nagar,,
Pulkeshi Nagar,,
Punappa Layout,,
Puttanahalli,13.1119851,77.5770582
Puttappa Layout,12.9709603,77.6527383
Queens Road,13.0286549,77.5719067
R.T. Nagar,13.0254156,77.5960071
RBI Layout,12.8873819,77.5840351
RK Layout 2nd Stage,13.0274554,77.5772913
RMC YARD,13.0244143,77.5482175
RMV,13.0360109,77.5695288
RMV 2nd Stage,13.0360109,77.5695288
RMV Extension,13.0356488,77.574775
RMV Extension Stage 2,13.0222132,77.5781101
"RMV extension stage 2, rmv extension",,
RPC layout,12.9609115,77.5358407
RR Layout,12.9156177,77.6347321
RR Nagar,12.9314733,77.5290964
RTO ullalu,,
RWF West Colony,,
Race Course Road,12.9819671,77.5766178
Rachenahalli,13.0588586,77.6232576
Raghavendra Layout,12.8918925,77.579749
Raghavendra Nagar,12.8918543,77.5777361
Raghuvanahalli,13.0850111,77.7600477
Rahat Bagh,12.9914863,77.6613684
Rahmath Nagar,13.0173076,77.5917019
Rainbow Drive,12.9062184,77.6868318
Raja Rajashweri Nagar,,
Raja Rajeshwari Nagar,12.932582,77.5162034
Raja Rajeshwari Nagar 5th Stage,,
Raja Rajeshwari Nagara,12.9299784,77.5206938
Rajaji Nagar,12.9945063,77.554298
Rajankunte,13.1729749,77.5669132
Rajanna Layout,12.930774,77.5968998
Rajapura,12.7831791,77.6631594
Rajarajesheari nagar,,
Rajarajeshwari Nagara,12.9193976,77.5180364
Rajarajeshwari nagar,12.9274413,77.5155224
Rajarajeshwarinagar,12.9061275,77.519558
Rajasree Layout,13.0686085,77.5562896
Rajiv Gandhi Nagar,13.0529919,77.5842533
Rajiv Nagar,13.0529919,77.5842533
Ramagondanahalli,12.9558969,77.7405826
Ramakrishnappa Layout,12.9778951,77.5164792
Ramamohanapuram,,
Ramamurthy Nagar,13.0120218,77.6777817
Ramamurthy Nagar Extension,12.995811,77.5663291
Ramanagara Channapatna,,
Ramanashree Enclave,,
Ramanjaneyanagar,,
Ramaswamy Palya - Kammanahalli Main Road,,
Ramchandrapuram,,
Ramesh Nagar,12.9633466,77.6800333
Rammana Layout,,
Rayasandra,12.8795774,77.6719842
Reliaable Tranquil Layout,,
Reliable Woods Layout,,
Remco Bhel Layout,,
Rest House Road,12.9737631,77.6064116
Richards Town,13.0042369,77.6170601
Richmond Road,12.9664415,77.6077724
Richmond Town,12.963555,77.6015856
Ring Road Nagarbhavi,12.9605743,77.5127492
Roopena Agrahara,12.91064,77.6238263
Rukmaiah Layout,,
Rustam Bagh Layout,,
S R Layout,12.9034217,77.5828148
SARJAPUR BAGALUR ROAD,,
SBM Colony,12.938813,77.5526032
SHANTHINAGAR,12.9578068,77.5994152
SK Garden,13.0045682,77.6069927
SMV layout,12.8819431,77.6728073
SRINIVASAPURA,13.1062092,77.6239014
Sabari Nagar,12.971655,77.6058944
Sadahalli,13.2042628,77.6458748
Sadanand Nagar,,
Sadaramangala,12.9989026,77.7375086
Sadashiva Nagar,13.0110193,77.5808641
Sadduguntepalya,,
Sadhguru Layout,12.9957271,77.5862314
Sahakara Nagar,13.0621474,77.5800614
Sahyadri Layout,12.9064193,77.5633803
Sai Gardens,12.9467591,77.6760671
Samethanahalli,,
Sampangi Rama Nagar,12.9666076,77.5925094
Sampangirama Nagar,12.9795587,77.589992
Sampige Layout,12.9764697,77.528243
Sampigehalli,13.0805925,77.6291328
Sanjay nagar,12.9578658,77.6958748
Sanjeevini Nagar,12.9162546,77.5891812
Sanne Amanikere,,
Saptagiri Layout,12.8451256,77.6457413
Sarakki Nagar,12.9106407,77.5845458
Sarjapur,12.9694037,77.5870258
Sarjapur  Road,12.9244884,77.6451418
"Sarjapur Road,",12.9243414,77.6448784
Sarjapura - Attibele Road,,
Sarvabhouma Nagar,12.9124073,77.5466561
Sarvobhogam Nagar,,
Sathanur,13.0735244,77.6214579
Sathya Layout,12.989889,77.7186215
Sathya Sai Layout,12.9327296,77.7039713
Satyasaibaba Layout,,
Sector 1 HSR Layout,12.9118559,77.6516888
Sector 2 HSR Layout,12.9118578,77.6517238
Sector 4 HSR Layout,12.9145663,77.6446063
Sector 6 HSR Layout,12.9156177,77.6347321
Sector 7 HSR Layout,12.9093675,77.6407794
Seegehalli,13.0164845,77.71748
Seethappa Layout,,
Seetharampalya,12.9813697,77.7086129
Seshadripuram,12.9946631,77.5747183
Shakthi Nagar,13.0178699,77.6165505
Shampura,13.0309565,77.6111581
Shankarapuram,12.9528538,77.5703309
Shanthala Nagar,12.9714173,77.5994394
Shanthi Layout,13.0167674,77.6834304
Shanthi Pura,,
Shanti Nagar,12.9555367,77.5924278
Shantiniketan Layout,12.8824524,77.6024627
Shauhardha Layout,,
Shettigere,13.1954297,77.649453
Shettihalli,13.0587626,77.5263725
Shetty Halli,13.0502833,77.525675
Shikaripalya,12.8359685,77.6571728
Shingapura,,
Shirdi Sai Layout,12.9135912,77.6067733
Shirdi Sai Nagar,12.969801,77.6303775
Shivaji Nagar,12.9883249,77.6004488
Shivanagar,12.9865226,77.5494848
Shree Ananth Nagar Layout,,
Siddapura,12.9464207,77.5920877
Sidedahalli,13.0625424,77.4953754
Silk Board,12.9167139,77.6214094
Silver Springs Layout,12.9582324,77.7098778
Sindhi Colony,12.9946318,77.6165816
Singanayakanahalli,13.1478621,77.5693207
Singapura Village,13.0797045,77.5384544
Singasandra,12.8787382,77.642089
Singena Agrahara,12.8400642,77.7126767
Sir M V Nagar,12.9312736,77.5704231
Sneha Colony,12.9987826,77.6177648
Somanna Garden,,
Somasundara Palya,,
Someshwara Layout,12.9035976,77.6938015
Sompura,12.8778283,77.4972385
Sonam Layout,,
Sonnenahalli,12.9433048,77.4801187
Soppahalli,12.7483443,77.6763175
Soundarya Layout,13.066906,77.4967968
Sree Narayana Nagar,12.8837645,77.5507558
Sri Balaji Krupa Layout,12.8732692,77.6460654
Sri Kanteshwara Nagar,,
Sri Sai Layout,13.0395959,77.64454
Sri Venkateshpura Layout,,
Srigandada Kaval,12.9851531,77.5032883
Srinagar,12.9484488,77.5514971
Srinivas Colony,12.9639012,77.6472266
Srinivasa Nagar,12.9877574,77.5378544
Srirampura,12.9964948,77.5632993
Srirampuram,,
St Thomas Town,13.0065573,77.6224071
St. John's Road,12.9865304,77.6158573
Stage-4 Bommanahalli,,
Subash Nagar,12.9284049,77.5179223
Subbannaiah Palya,,
Subhash Nagar,12.9899856,77.5719656
Subramanya Nagar,13.0047903,77.5599387
Subramanyapura,12.8992578,77.5321721
Suddaguntepalya,12.931045,77.6098888
Sugama Layout,,
Sultan Palaya,12.9639079,77.5687792
Sulthangunta,,
Sundar Ram Shetty Nagar,,
Sundara Nagar,12.97293,77.6151399
Sunder Ram Shetty Nagar,,
Sunkadakatte,12.9951556,77.5022163
Sunkan palya,,
Surabhi Layout,13.0930374,77.6002443
Suragajakkanahalli,12.7361919,77.6654422
Suraksha Nagar,12.9749426,77.6063997
Suryanagar,12.7731527,77.6864397
Syndicate Bank Colony,12.9798772,77.5286425
T C Palya main Road,13.020674,77.6861834
T Dasarahalli,13.0450201,77.5076896
T G extension,13.0013982,77.6019511
T K Reddy Layout,,
T R Mill Road,,
T c palya,13.0160374,77.6910921
T.C PALYA,13.0160374,77.6910921
TC Palaya,13.0105743,77.6932572
"TR Mill Road, Chamarajpet",,
Tala Cauvery Layout,,
Talaghattapura,,
Tasker Town,12.9801622,77.605818
Tata Nagar,12.9358121,77.5150011
Tavarekere,12.9220045,77.6096347
Teachers Colony,12.9188265,77.6341185
Tejaswini Nagar,12.8601269,77.6053051
Telecom Layout,12.965528,77.5467051
Thanisandra,13.0522499,77.6316152
"Thanisandra Main Road,",13.0401602,77.6243306
Thanisandra main road,13.0403517,77.6243304
Tharabanahalli,13.101684,77.4798441
Thigalarapalya,13.0170955,77.4829741
Thippasandra,12.973936,77.6509982
Thirumalashettyhally,,
Thirumenahalli,13.0901794,77.6334125
Thirupalya,12.821203,77.6660463
Thomas Town,13.0065573,77.6224071
Thubarahalli,12.9547872,77.7213154
Thurahalli,,
Thyagaraja Nagar,12.931392,77.5683011
Thyagraj Nagar,,
Tigalarpalya,,
Tilak Nagar,12.9275876,77.5947124
Tindlu,13.0750074,77.5673264
Tippenahalli,13.0368275,77.4882249
Tirumanahalli,,
Tumkur Road,13.0161949,77.556284
Tunganagara,12.985503,77.485068
Uday Nagar,12.9908579,77.6718143
Udaya Nagar,12.9963615,77.6724503
Udayagiri,,
Udayapur Village,,
Ullal Road,12.9553191,77.4935554
Ullal Uppanagar,,
Ulsoor,12.9778793,77.6246697
Upadhyaya Layout,,
Upkar Layout,12.961396,77.4833965
Uttarahalli,12.9055682,77.5455438
Uvce Layout,,
V.V Puram,12.9500602,77.5768521
VGP Layout,,
VHBCS Layout,,
Vadarpalya,,
Vaderahalli,13.0972541,77.5390599
Vaishnavi Layout,13.0768415,77.5529965
Vajarahalli,12.8774369,77.5447414
Varanasi,13.0304962,77.6860657
Varsova Layout,,
Varthur,12.9406508,77.746988
Varthur Road,12.9561094,77.7295768
"Varthur Road,",12.9561094,77.7295768
Vasantapura main road,12.8876583,77.5507012
Vasanth nagar,12.9921738,77.591459
Vasantha Vallabha Nagar,,
Vasanthapura,12.8894951,77.5596744
Vasanthpura,,
Vasatha Vallbha Nagar,,
Vayunandana Layout,,
Veer Sandra,12.8389813,77.6750305
Veerabhadra Nagar,12.9682085,77.6823937
Veerannapalya,13.0424788,77.613342
Veersandra,,
Venkatadri Layout,12.9479007,77.6994103
Venkatapura,12.8839153,77.47028
Venkateshpuram,13.013003,77.6189465
Venkateswara Nagar,13.04055,77.5569571
Venugopal Reddy Layout,,
Versova Layout,12.9838691,77.6684718
Vibhutipura Extension,,
Vibuthipura,12.9679839,77.6782243
Victoria Layout,12.9656579,77.6142682
Vidhyanagar Cross,,
Vidya Nagar,12.9842424,77.5865075
Vidyaranyapura,13.0766407,77.5577315
Vignana Nagar,13.0705989,77.5867134
Vijay Nagar,12.9061307,77.5919954
Vijaya Bank Colony,12.8934265,77.6097166
Vijaya Bank Layout,12.8822364,77.6138592
Vijayabank bank layout,,
Vijayanagar,12.9709537,77.5373851
Vijaypura,,
Vijinapura,13.0039028,77.6736303
Vikram Nagar,12.8994971,77.5613308
Vimanapura,12.96218,77.6635462
Vinayak Nagar,,
Vinayaka Layout,12.9682111,77.5116639
Vinayaka Nagar,12.9872184,77.5230958
Virat Nagar,12.9036108,77.6208615
Virgonagar,13.0537687,77.7173308
Virudhu Nagar,,
Virupakshapura,13.0638109,77.5717581
Vishveshwarya Layout,,
Vishwanatha Nagenahalli,13.036775,77.6036324
Vishwapriya Layout,,
Vishwapriya Nagar,,
Viswajit Layout,,
Viswapriyanagar.begur Road.bommanahalli.,,
Vittal Mallya Road,12.969538,77.594475
Vittal Nagar,12.9012176,77.5550809
Vittasandra,12.8699226,77.6272278
Vivek Nagar,12.9529247,77.6231374
Viviani Road,13.0036422,77.6156972
Volagerekallahalli,,
Vyalikaval,13.0042636,77.5751704
Wajid layout thanisandra,,
Weavers Colony,12.8454948,77.5831295
West of Chord Road,12.9974416,77.550126
Wheelers Road,12.9995759,77.6230526
"Whietfield,",,
Whitefield,12.9957428,77.7579489
Whitefield ECC Road,,
"Whitefield,",12.9957428,77.7579489
Williams Town,12.9991567,77.6067556
Wilson Garden,12.9489339,77.5968273
Xavier Layout,12.9649574,77.6120795
Yarandahalli,12.8087698,77.6673579
Yediyur,12.9301531,77.5763445
Yelachenahalli,12.9006508,77.569226
Yelahanka,13.1006982,77.5963454
Yelahanka New Town,13.0978039,77.5811889
"Yelahanka,MVIT college",,
Yelenahalli,12.8646227,77.6081639
Yemlur,12.9438959,77.6783535
"Yemlur, Old Airport Road,",,
Yeshwanthpur,13.0176937,77.5555009
Yeshwanthpur Industrial Suburb,,
Zuzuvadi,,
adigondanhalli,,
akshaya nagar t c palya,,
anjananager magdi road,,
arudi,13.48395,77.4049643
"asha township, off hennur road",,
banashankari stage iii sa,,
basaveshwarnagar,,
"beml layout, basaveshwara nagar",,
cooketown,,
elachenahalli,,
frazertown,,
ittamadu,12.9233593,77.5418698
kadubisnahalli,,
kamanahalli main road,,
kanakapura main road,12.9421348,77.5768444
kanakapura road,12.8622076,77.5303418
kg halli jalhalli west,,
manyata,13.0196646,77.6550064
manyata park,13.0551983,77.62124
manyata tech park,13.0482891,77.6211004
mvj engineering college,12.984887,77.7622799
near Ramanashree California resort,,
pavitra paradise,,
poornaprajna layout,12.908823,77.535944
"ravindra nagar, T.dasarahalli peenya",,
rr nagar,12.9314733,77.5290964
sankeswari,,
sapthagiri Layout,13.0368052,77.4960405
sarjapura main road,12.8757178,77.6721743
singapura paradise,,
south,12.9287596,77.6287122
t.c palya,13.0160374,77.6910921
tc.palya,13.0226152,77.7057327
"white field,kadugodi",,
whitefiled,13.0318443,77.7618779
